Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
78,tt0067810,2016-07-10,2016-07-10,Melvin Van Peebles' indie movie reflected the simmering rage of disillusioned African-Americans.,Sweet Sweetback's Baadasssss Song,https://www.imdb.com/title/tt0067810/,movie,5.5,97,1971,"Action, Crime, Drama, Thriller",4374,1971-04-23,Melvin Van Peebles
79,tt0135024,2016-07-10,2016-07-10,French filmmaker Catherine Breillat's film on explicit evocation of disturbing desires,Une vraie jeune fille,https://www.imdb.com/title/tt0135024/,movie,5.4,93,1976,Drama,3386,1999-02-04,Catherine Breillat
80,tt0022867,2016-07-10,2016-07-10,Americans were shocked by the nudity and sexual frankness of this Czech drama about an unhappy wife searching for fulfillment.,Ekstase,https://www.imdb.com/title/tt0022867/,movie,6.7,82,1933,"Drama, Romance",2051,1933-01-20,Gustav Machat˝
81,tt0057318,2016-07-10,2016-07-10,This Italian shockumentary was castigated for exploiting footage of lurid cultural practices from around the world.,Mondo cane,https://www.imdb.com/title/tt0057318/,movie,6.4,108,1962,Documentary,3358,1962-03-30,"Paolo Cavara, Franco Prosperi, Gualtiero Jacopetti"
82,tt0061834,2016-07-10,2016-07-10,Mockumentary about ‚ 60s youth was condemned as pornographic.,Jag ‰r nyfiken - en film i gult,https://www.imdb.com/title/tt0061834/,movie,6.1,121,1967,Drama,3407,1967-10-09,Vilgot Sjˆman
83,tt0099762,2016-07-10,2016-07-10,"The first major studio release rated NC-17, this arty biopic featured a guilt-free menage a trois, nudity and Uma Thurman in a lesbian kiss.",Henry & June,https://www.imdb.com/title/tt0099762/,movie,6.3,136,1990,"Biography, Drama",12030,1990-09-28,Philip Kaufman
84,tt0109206,2016-07-10,2016-07-10,"Indian censors deplored the nudity and violence in this biopic about Phoolan Devi, who overcame rape, child marriage and false imprisonment to become a politician.",Bandit Queen,https://www.imdb.com/title/tt0109206/,movie,7.6,119,1994,"Biography, Crime, Drama",4171,1994-09-09,Shekhar Kapur
85,tt0194314,2016-07-10,2016-07-10,Catherine Breillat challenged the status quo by casting an Italian porn star in her drama about the disconnect between love and sex: Outrage ensued.,Romance,https://www.imdb.com/title/tt0194314/,movie,5.3,84,1999,Drama,9564,1999-04-14,Catherine Breillat
86,tt0055597,2016-07-10,2016-07-10,Homosexuality was still a criminal offense in England when this thriller dared to take the side of gay men victimized by ruthless blackmailers.,Victim,https://www.imdb.com/title/tt0055597/,movie,7.7,90,1961,Drama,4752,1961-08-31,Basil Dearden
87,tt0475276,2016-07-10,2016-07-10,The trailer that positioned this chillingly realistic 9/11 docu-drama as a formulaic thriller occasioned more dismay than the movie itself.,United 93,https://www.imdb.com/title/tt0475276/,movie,7.5,111,2006,"Drama, History, Thriller",95864,2006-04-28,Paul Greengrass
88,tt0074896,2016-07-10,2016-07-10,"Though this epic biopic deferred to Islamic law by never showing Mohammed, it was still condemned as sacrilegious and banned in many Arab countries.",The Message,https://www.imdb.com/title/tt0074896/,movie,8.2,177,1976,"Biography, Drama, History, War",42101,1976-07-30,Moustapha Akkad
89,tt0089366,2016-07-10,2016-07-10,Jean-Luc Godard's contemporary take on the Immaculate Conception featured copious nudity and was denounced by Pope John Paul II.,"Je vous salue, Marie",https://www.imdb.com/title/tt0089366/,movie,6.6,72,1985,Drama,2862,1985-01-23,Jean-Luc Godard
90,tt0145531,2016-07-10,2016-07-10,Rattling the Catholic church's wasn't as shocking in the late nineties as when The Exorcist opened but still exposed this movie to censure.,Stigmata,https://www.imdb.com/title/tt0145531/,movie,6.2,103,1999,Horror,62837,1999-09-10,Rupert Wainwright
91,tt0362269,2016-07-10,2016-07-10,Many groups claimed this honest portrait of the pioneering sex researcher advocated perversion and glorified Kinsey's work.,Kinsey,https://www.imdb.com/title/tt0362269/,movie,7.0,118,2004,"Biography, Drama, Romance",46693,2004-09-04,Bill Condon
92,tt0036241,2016-07-10,2016-07-10,"Busty starlet Jane Russell's breasts cast a long shadow over this erotically charged Western, outraging guardians of public decency.",The Outlaw,https://www.imdb.com/title/tt0036241/,movie,5.5,116,1943,"Comedy, Drama, Romance, Western",3838,1943-02-05,"Howard Hughes, Howard Hawks"
93,tt0090350,2016-07-10,2016-07-10,"Now all-but forgotten, Michael Cimino's follow up to Heaven's Gate was censured for sexist and racist stereotypes of Chinese-Americans.",Year of the Dragon,https://www.imdb.com/title/tt0090350/,movie,6.9,134,1985,"Action, Crime, Drama, Thriller",13422,1985-08-16,Michael Cimino
94,tt0382625,2016-07-10,2016-07-10,"Conservative Christian groups fumed and urged boycotts, but the popularity of Dan Brown's thriller about arcane secrets and occult mysteries won out.",The Da Vinci Code,https://www.imdb.com/title/tt0382625/,movie,6.6,149,2006,"Mystery, Thriller",388314,2006-05-17,Ron Howard
95,tt0080855,2016-07-10,2016-07-10,"Bad pre-release buzz, including explosive accusations of animal abuse, helped turn Michael Cimono‚??s epic western into a legendary flop.",Heaven's Gate,https://www.imdb.com/title/tt0080855/,movie,6.8,219,1980,"Adventure, Drama, Western",13049,1980-11-18,Michael Cimino
96,tt0139738,2016-07-10,2016-07-10,"When Broadway sensations May Irwin and John Rice's notorious lip-lock was immortalized on film, people were shocked!",The Kiss,https://www.imdb.com/title/tt0139738/,short,5.9,1,1896,"Short, Romance",2937,1896-04-01,William Heise
97,tt0313196,2016-07-10,2016-07-10,Condemnation by the Catholic Church helped make this drama about unchaste priests a hit in Mexico.,El crimen del Padre Amaro,https://www.imdb.com/title/tt0313196/,movie,6.7,118,2002,"Drama, Romance",12610,2002-08-16,Carlos Carrera
98,tt0046094,2016-07-10,2016-07-10,"Well-bred people didn't use words like virgin, seduce and mistress in public, but this mild sex farce did and became a cause celebre.",The Moon Is Blue,https://www.imdb.com/title/tt0046094/,movie,6.7,99,1953,"Comedy, Romance",2010,1953-06-03,Otto Preminger
99,tt0473700,2016-07-10,2016-07-10,"LDS spokesmen denounced this little-seen account of the 1857 Mormon massacre of California-bound settlers as a ""distortion of history""",September Dawn,https://www.imdb.com/title/tt0473700/,movie,5.8,111,2007,"Drama, History, Romance, Western",2833,2007-08-24,Christopher Cain
100,tt0103639,2016-07-10,2016-07-10,Disney's animated musical included lyrics that the American-Arab Anti-Discrimination Committee claimed perpetuated racist stereotypes.,Aladdin,https://www.imdb.com/title/tt0103639/,movie,8.0,90,1992,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",356301,1992-11-08,"Ron Clements, John Musker"
