Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
69,tt0446029,2012-07-08,2012-07-08,,Scott Pilgrim vs. the World,https://www.imdb.com/title/tt0446029/,movie,7.5,112,2010,"Action, Comedy, Fantasy, Romance",359678,2010-07-27,Edgar Wright
70,tt0089755,2015-09-03,2015-09-03,,Out of Africa,https://www.imdb.com/title/tt0089755/,movie,7.2,161,1985,"Biography, Drama, Romance",69034,1985-12-10,Sydney Pollack
71,tt1305806,2019-06-07,2019-06-07,,El secreto de sus ojos,https://www.imdb.com/title/tt1305806/,movie,8.2,129,2009,"Drama, Mystery, Romance, Thriller",184015,2009-08-13,Juan José Campanella
72,tt2980516,2015-09-03,2015-09-03,,The Theory of Everything,https://www.imdb.com/title/tt2980516/,movie,7.7,123,2014,"Biography, Drama, Romance",383934,2014-09-07,James Marsh
73,tt0032976,2016-10-09,2016-10-09,,Rebecca,https://www.imdb.com/title/tt0032976/,movie,8.1,130,1940,"Drama, Mystery, Romance, Thriller",117054,1940-03-21,Alfred Hitchcock
74,tt0420223,2012-07-08,2012-07-08,,Stranger Than Fiction,https://www.imdb.com/title/tt0420223/,movie,7.5,113,2006,"Comedy, Drama, Fantasy, Romance",213493,2006-09-09,Marc Forster
75,tt0099487,2016-10-09,2016-10-09,,Edward Scissorhands,https://www.imdb.com/title/tt0099487/,movie,7.9,105,1990,"Drama, Fantasy, Romance",432189,1990-12-06,Tim Burton
76,tt1458175,2019-06-07,2019-06-07,,The Next Three Days,https://www.imdb.com/title/tt1458175/,movie,7.4,133,2010,"Action, Crime, Drama, Romance, Thriller",176350,2010-11-09,Paul Haggis
77,tt0066011,2012-07-08,2012-07-08,,Love Story,https://www.imdb.com/title/tt0066011/,movie,6.9,100,1970,"Drama, Romance",28935,1970-12-16,Arthur Hiller
78,tt0099653,2012-07-08,2012-07-08,,Ghost,https://www.imdb.com/title/tt0099653/,movie,7.0,127,1990,"Drama, Fantasy, Romance, Thriller",189209,1990-07-13,Jerry Zucker
79,tt0057187,2012-07-08,2012-07-08,,Irma la Douce,https://www.imdb.com/title/tt0057187/,movie,7.4,147,1963,"Comedy, Romance",16327,1963-06-05,Billy Wilder
80,tt1517451,2019-06-07,2019-06-07,,A Star Is Born,https://www.imdb.com/title/tt1517451/,movie,7.7,136,2018,"Drama, Music, Romance",307543,2018-08-31,Bradley Cooper
81,tt0106226,2012-07-08,2012-07-08,,The Age of Innocence,https://www.imdb.com/title/tt0106226/,movie,7.2,139,1993,"Drama, Romance",48441,1993-08-31,Martin Scorsese
82,tt2209418,2014-01-29,2014-01-29,,Before Midnight,https://www.imdb.com/title/tt2209418/,movie,7.9,109,2013,"Drama, Romance",132731,2013-01-20,Richard Linklater
83,tt0250797,2019-06-07,2019-06-07,,Unfaithful,https://www.imdb.com/title/tt0250797/,movie,6.7,124,2002,"Drama, Romance, Thriller",77106,2002-05-08,Adrian Lyne
84,tt0366721,2015-09-03,2015-09-03,,Trilogia: To livadi pou dakryzei,https://www.imdb.com/title/tt0366721/,movie,7.9,170,2004,"Drama, History, Romance",4095,2004-02-12,Theodoros Angelopoulos
85,tt1164999,2019-06-07,2019-06-07,,Biutiful,https://www.imdb.com/title/tt1164999/,movie,7.5,148,2010,"Drama, Romance",83543,2010-05-17,Alejandro G. Iñárritu
86,tt1120985,2012-07-08,2012-07-08,,Blue Valentine,https://www.imdb.com/title/tt1120985/,movie,7.4,112,2010,"Drama, Romance",178257,2010-01-24,Derek Cianfrance
87,tt0054698,2016-10-09,2016-10-09,,Breakfast at Tiffany's,https://www.imdb.com/title/tt0054698/,movie,7.7,115,1961,"Comedy, Drama, Romance",160065,1961-10-05,Blake Edwards
88,tt0032904,2012-07-08,2012-07-08,,The Philadelphia Story,https://www.imdb.com/title/tt0032904/,movie,7.9,112,1940,"Comedy, Romance",61039,1940-12-05,George Cukor
89,tt0287467,2015-09-03,2015-09-03,,Hable con ella,https://www.imdb.com/title/tt0287467/,movie,7.9,112,2002,"Drama, Mystery, Romance",101442,2002-03-15,Pedro Almodóvar
90,tt0046250,2016-10-09,2016-10-09,,Roman Holiday,https://www.imdb.com/title/tt0046250/,movie,8.0,118,1953,"Comedy, Romance",122736,1953-08-20,William Wyler
91,tt0404203,2015-09-03,2015-09-03,,Little Children,https://www.imdb.com/title/tt0404203/,movie,7.5,137,2006,"Drama, Romance",102913,2006-09-01,Todd Field
92,tt0047437,2012-07-08,2012-07-08,,Sabrina,https://www.imdb.com/title/tt0047437/,movie,7.7,113,1954,"Comedy, Drama, Romance",56554,1954-09-03,Billy Wilder
93,tt0497465,2012-07-08,2012-07-08,,Vicky Cristina Barcelona,https://www.imdb.com/title/tt0497465/,movie,7.1,96,2008,"Comedy, Drama, Romance",236333,2008-05-17,Woody Allen
94,tt0058385,2012-07-08,2012-07-08,,My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.8,170,1964,"Drama, Family, Musical, Romance",83545,1964-10-21,George Cukor
95,tt0077631,2014-01-29,2014-01-29,,Grease,https://www.imdb.com/title/tt0077631/,movie,7.2,110,1978,"Musical, Romance",226659,1978-06-13,Randal Kleiser
96,tt0056193,2012-07-08,2012-07-08,,Lolita,https://www.imdb.com/title/tt0056193/,movie,7.6,153,1962,"Crime, Drama, Romance",88731,1962-06-13,Stanley Kubrick
97,tt0233841,2012-07-08,2012-07-08,,Baran,https://www.imdb.com/title/tt0233841/,movie,7.8,94,2001,"Drama, Romance",7602,2001-01-31,Majid Majidi
98,tt0055913,2016-10-09,2016-10-09,,Divorzio all'italiana,https://www.imdb.com/title/tt0055913/,movie,8.1,105,1961,"Comedy, Drama, Romance",10925,1961-12-20,Pietro Germi
99,tt0103855,2012-07-08,2012-07-08,,The Bodyguard,https://www.imdb.com/title/tt0103855/,movie,6.3,129,1992,"Action, Drama, Music, Romance, Thriller",114314,1992-11-25,Mick Jackson
100,tt0243155,2016-10-10,2016-10-10,,Bridget Jones's Diary,https://www.imdb.com/title/tt0243155/,movie,6.7,97,2001,"Comedy, Drama, Romance",217224,2001-04-04,Sharon Maguire
