Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
11,tt0038760,2017-09-14,2017-09-14,"Grand Prix du Festival International du Film - 1946

1 win",Muzi bez krídel,https://www.imdb.com/title/tt0038760/,movie,7.2,79,1946,"Drama, War",80,1946-10-25,Frantisek Cáp
12,tt0154942,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1946


1 win",Neecha Nagar,https://www.imdb.com/title/tt0154942/,movie,6.9,122,1946,Drama,128,1946-09-30,Chetan Anand
13,tt0041959,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1949


Top Rated Movies #124  
Won 1 Oscar. 
Another 4 wins & 4 nominations",The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",152725,1949-05-31,Carol Reed
14,tt0043809,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1951

Nominated for 2 BAFTA Film Awards. 
Another 4 wins",Miracolo a Milano,https://www.imdb.com/title/tt0043809/,movie,7.7,97,1951,"Comedy, Drama, Fantasy",6005,1951-02-08,Vittorio De Sica
15,tt0043567,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1951

Nominated for 1 BAFTA Film Award. 
Another 1 win",Fröken Julie,https://www.imdb.com/title/tt0043567/,movie,7.2,90,1951,"Drama, Romance",1565,1951-04-06,Alf Sjöberg
16,tt0045251,2017-05-23,2017-09-14,"Grand Prize of the Festival -1952 

1 win & 1 nomination",The Tragedy of Othello: The Moor of Venice,https://www.imdb.com/title/tt0045251/,movie,7.6,90,1951,"Drama, History, Romance",7219,1951-11-27,Orson Welles
17,tt0044572,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1952

Nominated for 1 BAFTA Film Award. 
Another 5 wins",Due soldi di speranza,https://www.imdb.com/title/tt0044572/,movie,7.2,110,1952,"Comedy, Romance",469,1952-04-10,Renato Castellani
18,tt0046268,2017-05-23,2017-09-14,"Grand Prize of the Festival -1953 

Top Rated Movies #190
Won 1 BAFTA Film Award. 
Another 5 wins.",Le salaire de la peur,https://www.imdb.com/title/tt0046268/,movie,8.1,131,1953,"Adventure, Drama, Thriller",51660,1953-04-15,Henri-Georges Clouzot
19,tt0045935,2017-05-23,2017-09-14,"Grand Prize of the Festival - 1954

Won 1 Oscar. 
Another 6 wins & 1 nomination",Jigokumon,https://www.imdb.com/title/tt0045935/,movie,7.2,89,1953,"Drama, History, Romance",2962,1953-10-31,Teinosuke Kinugasa
20,tt0048356,2017-05-23,2017-09-14,"Palme d'Or - 1955

Won 4 Oscars. 
Another 14 wins & 5 nominations",Marty,https://www.imdb.com/title/tt0048356/,movie,7.7,90,1955,"Drama, Romance",20429,1955-04-11,Delbert Mann
