Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
17,tt0107048,2012-07-15,2012-07-15,,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Fantasy, Romance",562905,1993-02-04,Harold Ramis
18,tt0099785,2012-07-15,2012-07-15,,Home Alone,https://www.imdb.com/title/tt0099785/,movie,7.6,103,1990,"Comedy, Family",445823,1990-11-10,Chris Columbus
19,tt0018773,2012-07-15,2012-07-15,,The Circus,https://www.imdb.com/title/tt0018773/,movie,8.2,72,1928,"Comedy, Romance",24756,1928-01-06,Charles Chaplin
20,tt0190590,2012-07-15,2012-07-15,,"O Brother, Where Art Thou?",https://www.imdb.com/title/tt0190590/,movie,7.7,107,2000,"Adventure, Comedy, Crime, Music",275216,2000-05-13,"Joel Coen, Ethan Coen"
21,tt0015864,2015-08-17,2015-08-17,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Western",95183,1925-06-26,Charles Chaplin
22,tt0467406,2012-07-15,2012-07-15,,Juno,https://www.imdb.com/title/tt0467406/,movie,7.4,96,2007,"Comedy, Drama",479604,2007-09-01,Jason Reitman
23,tt0084805,2012-07-15,2012-07-15,,Tootsie,https://www.imdb.com/title/tt0084805/,movie,7.4,116,1982,"Comedy, Drama, Romance",94162,1982-12-01,Sydney Pollack
24,tt0032339,2012-07-15,2012-07-15,,A Chump at Oxford,https://www.imdb.com/title/tt0032339/,movie,7.4,62,1939,Comedy,3379,1939-12-31,Alfred J. Goulding
25,tt3783958,2016-12-05,2016-12-05,,La La Land,https://www.imdb.com/title/tt3783958/,movie,8.0,128,2016,"Comedy, Drama, Music, Musical, Romance",476410,2016-08-31,Damien Chazelle
26,tt0365748,2012-07-15,2012-07-15,,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,movie,7.9,99,2004,"Comedy, Horror",495923,2004-03-29,Edgar Wright
27,tt0045152,2012-07-15,2012-07-15,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",209203,1952-03-27,"Gene Kelly, Stanley Donen"
28,tt0075686,2012-07-15,2012-07-15,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",245463,1977-03-27,Woody Allen
29,tt1033575,2015-08-17,2015-08-17,,The Descendants,https://www.imdb.com/title/tt1033575/,movie,7.3,115,2011,"Comedy, Drama",228317,2011-09-02,Alexander Payne
30,tt0286112,2012-07-15,2012-07-15,,Siu Lam juk kau,https://www.imdb.com/title/tt0286112/,movie,7.3,113,2001,"Action, Comedy, Family, Fantasy, Sport",72161,2001-07-05,Stephen Chow
31,tt1605783,2012-07-15,2012-07-15,,Midnight in Paris,https://www.imdb.com/title/tt1605783/,movie,7.7,96,2011,"Comedy, Fantasy, Romance",373001,2011-05-11,Woody Allen
32,tt0070735,2015-03-22,2015-03-22,,The Sting,https://www.imdb.com/title/tt0070735/,movie,8.3,129,1973,"Comedy, Crime, Drama",232484,1973-12-25,George Roy Hill
33,tt1655442,2015-03-23,2015-03-23,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",224736,2011-05-15,Michel Hazanavicius
34,tt1748122,2014-01-03,2014-01-03,,Moonrise Kingdom,https://www.imdb.com/title/tt1748122/,movie,7.8,94,2012,"Comedy, Drama, Romance",306552,2012-05-16,Wes Anderson
35,tt0017925,2012-07-15,2012-07-15,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War",76868,1926-12-25,"Buster Keaton, Clyde Bruckman"
36,tt0053779,2015-03-23,2015-03-23,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",63034,1960-02-03,Federico Fellini
37,tt0057012,2012-07-15,2012-07-15,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,434696,1964-01-29,Stanley Kubrick
38,tt0120735,2015-08-17,2015-08-17,,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,movie,8.2,107,1998,"Comedy, Crime",517217,1998-08-23,Guy Ritchie
39,tt0089853,2015-08-17,2015-08-17,,The Purple Rose of Cairo,https://www.imdb.com/title/tt0089853/,movie,7.7,82,1985,"Comedy, Fantasy, Romance",45320,1985-01-26,Woody Allen
40,tt0208092,2015-08-17,2015-08-17,,Snatch,https://www.imdb.com/title/tt0208092/,movie,8.3,104,2000,"Comedy, Crime",756211,2000-08-23,Guy Ritchie
41,tt0314331,2015-03-23,2015-03-23,,Love Actually,https://www.imdb.com/title/tt0314331/,movie,7.6,135,2003,"Comedy, Drama, Romance",411672,2003-11-06,Richard Curtis
42,tt1045658,2014-01-03,2014-01-03,,Silver Linings Playbook,https://www.imdb.com/title/tt1045658/,movie,7.7,122,2012,"Comedy, Drama, Romance",644114,2012-09-08,David O. Russell
43,tt0120382,2016-12-05,2016-12-05,,The Truman Show,https://www.imdb.com/title/tt0120382/,movie,8.1,103,1998,"Comedy, Drama, Sci-Fi",891573,1998-06-01,Peter Weir
44,tt0441909,2015-03-23,2015-03-23,,Volver,https://www.imdb.com/title/tt0441909/,movie,7.6,121,2006,"Comedy, Drama",91922,2006-03-10,Pedro Almodóvar
